X,Y,H,CH,CW,GLE,girth10,Species
59.67753485,59.35816636,1.27,69,52,0.999849272,17.56,Sessile
58.76876944,54.59090096,1.33,20,16,0.999913065,16.8,Sessile
59.50164477,53.54034483,1.21,25,50,0.999849272,15.67,Sessile
59.48210143,48.81851499,1.14,30,43,0.999936207,11.74,Sessile
59.21826631,44.06061392,0.85,11,46,0.999936207,9.65,Sessile
60,41.73967925,1.36,39,10,0.999936207,12.43,Sessile
59.0521479,36.84785366,0.81,6,15,0.999936207,9.82,Sessile
59.63549552,28.98856073,0.88,37,84,0.999849272,12.75,Sessile
59.50684688,16.69460482,2.41,126,83,0.990601672,26.13,Rowan
59.3567568,10.2982957,1.31,69,68,0.990612802,16.13,Sessile
60,8.271768331,0.58,15,14,0.999913065,3.48,Sessile
59.47468472,2.518459948,0.85,22,39,1,11.37,Sessile
59.56051998,57.81658902,1.44,40,30,0.999849272,15.05,Hazel
56.63854513,56.94365495,1.12,20,6,0.985329675,11.17,Sessile
57.53753888,54.17428944,1.02,17,6,0.999913065,14.62,Sessile
58.29972922,51.25253063,1.03,14,15,0.999936207,11.44,Sessile
56.63854513,49.1566109,0.87,26,31,1,11.8,Sessile
57.75251564,46.71695832,0.95,10,30,1,9.9,Sessile
56.83397855,44.27041776,0.9,24,51,0.999936207,12.61,Sessile
57.94794906,41.49154777,0.82,5,22,0.999936207,7.02,Sessile
58.35835925,41.36901326,0.71,16,35,0.999936207,16.57,Sessile
58.33881591,38.722918,1.34,28,58,0.999936207,17.97,Sessile
57.99680742,32.01575282,1.28,32,48,0.999849272,15.04,Sessile
57.47890885,29.46928694,1.25,21,22,0.999849272,15.73,Sessile
57.587838,28.49226814,0.86,30,88,0.990602567,13.3,Sessile
56.47288312,21.29016961,2.1,148,113,0.985329675,32.26,Rowan
57.31982,18.6518683,1.7,116,128,0.983726779,24.74,Rowan
58.13459472,15.20008075,2.33,133,115,0.999913065,26.89,Rowan
57.71648664,12.81758582,0.84,32,24,0.999913065,4.69,Sessile
57.20189208,9.70715418,0.88,37,54,0.999913065,12.37,Sessile
58.02738752,7.183318419,-0.05,-10,-10,0.999913065,0,Sessile
57.78081096,4.276241549,0.91,26,36,0.999506966,8.98,Sessile
57.11612632,2.153396131,0.57,9,21,1,6.22,Sessile
55.58783797,58.30387387,2.45,110,90,0.950851784,32.01,Aspen
54.97736104,54.65974088,0.95,35,103,0.999849272,14.03,Sessile
55.38777123,51.36534929,1.16,45,84,0.999356238,15,Sessile
54.06859562,49.28207466,1.32,45,53,1,18.35,Sessile
55.59297632,51.4217396,0.92,31,37,0.999356238,10.89,Sessile
55.11416443,43.90180699,1.06,41,44,0.999936207,10.15,Sessile
56.16950492,40.85004727,0.92,17,26,0.989779628,11.47,Sessile
55.89589813,38.53095205,0.99,35,34,0.999936207,10.64,Sessile
56.66786014,36.17580446,-0.05,-10,-10,0.999849272,0,Sessile
56.17927659,33.98569821,0.98,20,14,0.999936207,11.01,Sessile
55.57343298,31.69999477,0.95,23,52,0.999849272,20.73,Sessile
55.45617292,27.95467811,1.09,39,9,0.980282603,10.51,Sessile
54.56459496,20.19208308,2.48,176,129,0.999849272,28.65,Rowan
55.77603632,16.74044522,2.39,129,85,0.99894869,26.81,Rowan
55.82963992,14.48593071,2.21,116,79,0.999913065,24.43,Rowan
55.72243272,11.2325206,1.72,115,42,0.999913065,22.78,Rowan
54.86477512,9.201342091,0.9,30,37,0.999936207,7.53,Sessile
55.74387416,7.428019342,0.89,30,39,1,10.08,Sessile
54.65762738,3.194322319,0.9,28,46,0.99974074,6.51,Sessile
53.64115058,60,1.52,100,65,0.999936207,14.58,Rowan
53.58306783,56.99195311,1.84,78,66,0.999936207,21.47,Aspen
56.61604891,54.35874072,0.85,18,42,0.999849272,10.65,Sessile
52.70056167,54.04388519,1.19,43,105,0.980142371,20.15,Sessile
52.90576676,51.66021746,0.53,4,5,0.984414955,2.23,Sessile
51.95791466,48.96081442,-0.05,-10,-10,0.990612802,3.53,Sessile
53.24777525,46.61853157,0.76,27,36,0.999849272,8.3,Sessile
52.64193164,43.73854824,1.2,44,59,0.999012483,14.92,Sessile
53.75590215,41.63367846,-0.05,-10,-10,0.983370203,3.09,Sessile
53.60932708,39.00824479,1.18,48,70,0.999936207,13.8,Sessile
53.91224889,35.85703159,1,30,43,0.999936207,12.55,Sessile
53.02302681,33.40984834,0.91,39,29,0.99894869,7.11,Sessile
53.26731859,30.57771896,1.52,47,36,0.999936207,18.92,Sessile
53.5139644,22.31827403,1.87,110,96,0.974301797,25.43,Rowan
52.84927976,18.87699325,2.19,153,276,0.99894869,39.44,Rowan
52.79567616,16.63732176,2.09,87,104,0.99894869,23.65,Rowan
53.41747792,14.33386098,2.67,164,109,0.999420031,28.24,Rowan
56.04405432,12.45063078,1.89,96,82,0.979170749,22.38,Rowan
52.80908954,5.747745574,-0.05,-10,-10,0.999913065,3.16,Rowan
52.31077126,54.98658851,2.09,87,100,0.999849272,30.2,Aspen
52.94694885,50.99460105,1.71,58,72,0.999849272,20.36,Aspen
49.97426542,50.16167478,2.18,94,95,0.999936207,27.28,Aspen
50.97097588,45.89310536,1.27,44,54,0.999936207,11.84,Aspen
49.90586372,43.59135612,1.21,52,47,0.999035625,13.02,Aspen
51.49864612,40.42100531,1.01,35,58,0.999936207,10.75,Sessile
51.85042628,37.8203873,0.99,35,15,0.999035625,8.69,Sessile
50.47262065,35.61720617,1.34,46,72,0.998776365,15.75,Sessile
50.93188919,33.82206149,1.24,28,71,0.999849272,19.36,Hazel
50.84394415,32.17641694,1.08,24,52,0.99894869,13.96,Sessile
51.17684744,23.80388991,1.65,118,70,0.999763882,22.33,Rowan
51.12324384,20.77448301,2.33,185,182,0.998776365,35.82,Rowan
49.19351423,19.07790404,2.23,131,134,0.99894869,31.8,Rowan
49.69738808,16.60107067,2.72,152,124,0.938545921,35.17,Rowan
50.63009072,14.72396873,2.57,166,119,0.999035625,29.47,Rowan
50.52288352,11.97789258,2.82,195,85,0.999936207,28.76,Rowan
51.84153208,10.67971674,1.92,105,64,0.999356238,20.68,Rowan
52.3882888,8.369298706,1.99,121,78,0.999936207,23.81,Aspen
48.61913894,7.721307771,2.24,123,76,0.999849272,30.02,Aspen
49.79856032,5.066154506,1.35,46,73,0.99974074,17.32,Aspen
53.21195536,5.41203654,-0.05,-10,-10,1,2.73,Aspen
49.98425452,59.04417202,2.13,176,68,0.99002263,18.45,Rowan
49.68658935,55.8674496,2.54,136,143,0.999849272,32.65,Rowan
50.9592012,52.85003184,2.03,105,94,0.970566825,25.11,Aspen
48.55737311,48.12769339,2.19,97,79,0.99974074,32.94,Aspen
48.23490796,45.54385853,1.7,59,63,0.999827675,19.2,Aspen
49.778832,41.23979387,-0.05,-10,-10,0.999936207,3.32,Aspen
49.18276006,38.92443392,1.3,47,26,0.998729623,11.37,Aspen
48.48897141,36.68034024,1.91,82,95,0.9988633,19.28,Aspen
47.28522607,27.17793326,1.98,131,122,0.99894869,29.43,Rowan
48.57171247,25.78583287,2.3,180,164,0.999849272,33.27,Rowan
48.13216295,21.81252061,1.17,38,90,0.99894869,18.99,Sessile
47.69261343,15.81206341,1.48,84,47,0.961211994,13.95,Rowan
48.17504583,13.29651972,1.95,126,109,0.950208364,31.41,Rowan
46.2485253,9.644004963,2.49,162,105,0.999936207,34.7,Rowan
46.4855767,7.060062705,-0.05,-10,-10,0.999222561,4.46,Aspen
47.28380245,3.814875381,0.84,1,44,0.989904715,11.68,Aspen
49.78460512,3.814875381,1.03,23,30,0.999827675,12.04,Aspen
47.27533008,59.28781444,2.5,110,130,0.999936207,24.13,Rowan
47.43060973,57.13251605,2.17,101,93,0.999849272,27.96,Rowan
47.46248411,55.03344283,2.11,110,64,0.943722316,23.44,Rowan
48.25968902,52.89688616,2.18,115,100,0.990612802,25.24,Rowan
49.68436015,51.21950175,2.22,88,94,0.999936207,26,Aspen
49.4500867,49.36407096,2.24,106,127,0.99002263,29.17,Aspen
48.8626407,46.7496003,1.65,66,93,0.99974074,26.56,Aspen
46.40760546,45.00088684,1.56,31,42,0.999849272,20.42,Aspen
47.2381975,36.72807645,1.35,26,64,0.999763882,10.37,Aspen
47.58020599,40.94126798,-0.05,-10,-10,0.9988633,2.71,Aspen
47.18933915,38.34152655,-0.05,-10,-10,0.99894869,3.67,Sessile
44.98027127,29.82914325,0.86,26,48,0.999035625,10.57,Sessile
44.50855959,27.28714283,1.02,50,81,0.998776365,15.28,Sessile
45.73072167,24.59063944,0.93,34,58,0.998776365,12.45,Sessile
46.42756847,22.28727349,0.78,25,38,0.990593322,11.25,Sessile
44.05828935,22.71401584,1.19,57,71,0.999849272,12.53,Sessile
43.83315423,20.09140556,1.37,76,65,0.999936207,15.48,Sessile
45.55919015,17.1624963,0.88,33,53,0.999763882,13.32,Sessile
41.10477433,14.21168242,1,41,87,0.999035625,16.73,Sessile
43.22536508,11.54635615,2.43,188,189,0.962907911,29.72,Rowan
44.39422529,9.186219917,2.51,132,157,0.990494888,30.09,Rowan
44.26221673,6.134319613,1.76,75,95,0.999827675,26.26,Aspen
44.77610574,2.828094282,1.71,93,106,0.998793415,24.81,Aspen
46.60577852,0.824013082,1.89,94,93,0.999827675,29.52,Aspen
43.78770003,59.22221841,1.44,96,53,0.999936207,25.2,Downy Birch
44.61906552,56.96384052,1.24,65,57,1,20.75,Downy Birch
44.75379013,54.339999,0.92,30,39,0.999936207,14.84,Downy Birch
46.22706587,51.68804488,1.22,53,74,0.999936207,18.31,Downy Birch
47.14686191,48.90489869,2.21,94,82,0.999676947,31.2,Aspen
45.68750276,47.10569308,1.15,51,63,0.999763882,14.17,Sessile
44.40441288,44.91600575,1.05,34,58,0.99954327,13.52,Sessile
44.49235792,41.80067804,0.99,47,46,0.99954327,13.56,Sessile
45.28386328,38.82435013,0.97,21,33,0.998815013,8.71,Sessile
45.06888651,35.98671823,0.78,19,19,0.999676947,8.87,Sessile
42.53594711,29.84310571,1.47,71,102,0.998729623,19.33,Sessile
41.92486607,27.08852002,1.09,38,82,0.998815013,16.02,Sessile
43.36144255,24.81889246,-0.05,-10,-10,0.983715605,5.18,Sessile
41.47459583,22.8550416,1.38,69,63,0.998793415,20.57,Sessile
41.32450575,20.44522972,0.98,37,58,0.998878805,9.62,Sessile
38.67483055,15.92074659,1.19,51,76,0.9988633,17.31,Sessile
39.04662221,13.34697733,2.43,188,96,0.975454817,38.75,Rowan
38.20347375,9.369333936,2.28,157,134,0.999035625,34.82,Rowan
41.04818966,9.318468931,1.86,114,94,0.998776365,22.89,Rowan
42.47336704,7.589058758,2.47,142,144,0.998776365,30.98,Rowan
39.97942351,6.754872675,1.83,102,72,0.990593322,24.2,Rowan
41.79849999,4.679580467,1.82,92,54,0.999849272,18.95,Hazel
42.50996097,1.373355137,2.02,135,103,0.999936207,37.51,Hazel
41.17903252,60,1.02,36,78,0.999763882,12.41,Sessile
42.15379976,58.05086058,1.34,66,75,0.999035625,13.97,Downy Birch
41.21031406,55.30519784,1.18,36,49,0.962907911,14.61,Sessile
41.94504832,53.0374491,0.8,36,35,0.990494888,9.84,Sessile
43.79226165,51.50999849,1.07,35,53,0.999827675,8.89,Sessile
44.10584838,49.2047663,0.91,29,50,0.998793415,14.85,Sessile
44.60137455,44.64115622,1.06,40,52,0.999827675,12.97,Sessile
41.71720331,42.71015644,0.97,28,26,0.999936207,10.28,Sessile
43.12432396,39.76960934,1.21,56,55,1,14.11,Sessile
42.46962199,36.36731252,0.86,26,37,0.999936207,8.44,Sessile
39.38405543,31.21462209,1.08,49,62,0.999936207,12.54,Sessile
39.24468607,28.95080747,0.86,27,79,0.999676947,11.35,Sessile
37.93675823,26.85862251,1.38,79,75,0.999763882,18.02,Sessile
39.87720855,25.25417107,0.92,23,57,0.99954327,13.22,Sessile
38.80513655,22.98351518,0.86,24,58,0.99954327,9.87,Sessile
41.82837959,23.37030639,0.61,17,37,0.998815013,7.73,Sessile
36.11548693,15.20863652,0.89,33,71,0.999676947,11.12,Sessile
36.37737332,12.52296425,0.85,22,33,0.998729623,8.49,Sessile
35.47757916,9.827118981,1.18,59,55,0.998815013,15.43,Sessile
37.18433305,7.975632796,0.57,14,21,0.983715605,6.32,Sessile
34.99294678,6.632796662,0.71,21,53,0.998793415,10.91,Sessile
37.55358738,5.015289501,0.78,18,21,0.998878805,8.18,Sessile
37.69088747,1.149549115,1.29,74,34,0.9988633,11.88,Hazel
35.61478262,2.950170295,0.73,18,37,0.975454817,8.83,Sessile
40.79112105,56.48592653,0.85,28,81,0.999035625,12.31,Sessile
39.703594,54.50867452,1.1,49,62,0.998776365,14.61,Sessile
39.52562038,52.26903836,0.84,22,69,0.998776365,10.29,Sessile
41.34265462,50.18870687,1.14,47,82,0.990593322,16.57,Sessile
42.75399483,47.28373947,1.23,67,46,0.999849272,16.2,Sessile
42.53386264,42.29844057,1.15,48,74,0.999936207,14.02,Sessile
40.33939769,39.17734723,1.16,17,49,0.999763882,10.91,Sessile
36.90756911,31.51449977,0.91,42,64,0.999035625,14.23,Sessile
36.54306463,28.89680632,1,46,59,0.962907911,12.82,Sessile
30.93890032,22.32973723,0.94,20,51,0.990494888,13.55,Sessile
31.99261194,19.73562197,0.89,34,71,0.999827675,13.59,Sessile
32.4015349,17.09064171,1.08,52,74,0.998793415,12.57,Sessile
33.50228361,14.49652645,0.88,20,39,0.999827675,8.6,Sessile
